login,tarea,pr,intento,abierto,due,dias_tarde,resultado,motivo,senales,override,revisado
jpmedinae,datacamp-introduccion-git,2,1,2026-09-04T20:10:05Z,2026-09-10,0,bien,mergeado,,,2026-09-10
jpmedinae,mirror-y-pull-request,2,1,2026-09-04T20:10:05Z,2026-09-10,0,bien,mergeado,,,2026-09-10
butronand-png,mirror-y-pull-request,3,1,2026-09-05T19:04:20Z,2026-09-10,0,bien,mergeado,,,2026-09-10
Meyer03,mirror-y-pull-request,5,1,2026-09-09T02:29:48Z,2026-09-10,0,cerrada,cerrado sin merge; cerrado por el alumno; sólo crea la carpeta (.gitkeep),,,
RobertoUribeClemente,mirror-y-pull-request,6,1,2026-09-09T02:29:50Z,2026-09-10,0,bien,mergeado; sólo crea la carpeta (.gitkeep),,,2026-09-10
dacorzo,mirror-y-pull-request,7,1,2026-09-09T02:29:51Z,2026-09-10,0,bien,mergeado; crea la carpeta y arrastra archivos del curso desde su main,,,2026-09-10
fernandalh25,datacamp-introduccion-git,8,1,2026-09-09T02:29:53Z,2026-09-10,0,bien,mergeado,,,2026-09-10
goldzweigarie-bit,mirror-y-pull-request,9,1,2026-09-09T02:29:56Z,2026-09-10,0,bien,mergeado; sólo crea la carpeta (.gitkeep),,,2026-09-10
LuisRyes,mirror-y-pull-request,10,1,2026-09-09T02:30:17Z,2026-09-10,0,bien,mergeado; sólo crea la carpeta (.gitkeep),,,2026-09-10
nat-aglo,mirror-y-pull-request,11,1,2026-09-09T02:30:17Z,2026-09-10,0,bien,mergeado; sólo crea la carpeta (.gitkeep),,,2026-09-10
cristoredentor,mirror-y-pull-request,12,1,2026-09-09T02:31:05Z,2026-09-10,0,bien,mergeado; sólo crea la carpeta (.gitkeep),,,2026-09-08
DabtcAvila,mirror-y-pull-request,13,1,2026-09-09T02:33:29Z,2026-09-10,0,bien,mergeado,,,2026-09-10
camila7866,mirror-y-pull-request,14,1,2026-09-09T02:36:23Z,2026-09-10,0,bien,mergeado; sólo crea la carpeta (.gitkeep),,,2026-09-10
Domdimad0m,desconocida,15,1,2026-09-09T04:37:41Z,,,cerrada,PR sin archivos; cerrado por el alumno,,,
FerArGo56,desconocida,16,1,2026-09-09T20:06:57Z,,,cerrada,"cerrado: sólo trae prueba.txt, no es una entrega",,,2026-09-17
RobertoUribeClemente,mirror-y-pull-request,17,2,2026-09-10T23:41:04Z,2026-09-10,0,bien,mergeado,,,2026-09-10
geraVillV,datacamp-introduccion-git,18,1,2026-09-10T23:53:08Z,2026-09-10,0,bien,mergeado,,,2026-09-10
dacorzo,datacamp-introduccion-git,19,1,2026-09-11T00:07:11Z,2026-09-10,0,bien,mergeado,,,2026-09-10
RobertoUribeClemente,datacamp-introduccion-git,20,1,2026-09-11T00:08:04Z,2026-09-10,0,bien,mergeado,,,2026-09-10
fernandalh25,datacamp-introduccion-git,21,2,2026-09-11T00:19:19Z,2026-09-10,0,bien,mergeado,,,2026-09-10
emilianomillan,mirror-y-pull-request,22,1,2026-09-11T00:20:15Z,2026-09-10,0,cerrada,cerrado sin merge; cerrado por el alumno,,,
dacorzo,datacamp-introduccion-git,23,2,2026-09-11T00:22:01Z,2026-09-10,0,bien,mergeado,,,2026-09-10
dacorzo,mirror-y-pull-request,23,2,2026-09-11T00:22:01Z,2026-09-10,0,bien,mergeado,,,2026-09-10
emilianomillan,mirror-y-pull-request,24,2,2026-09-11T00:25:15Z,2026-09-10,0,cerrada,cerrado: duplicado del contenido que entró por #25,,,2026-09-17
emilianomillan,mirror-y-pull-request,25,3,2026-09-11T00:25:43Z,2026-09-10,0,bien,mergeado,,,2026-09-10
butronand-png,datacamp-introduccion-git,26,1,2026-09-11T00:34:41Z,2026-09-10,0,bien,mergeado,,,2026-09-10
emilianomillan,mirror-y-pull-request,27,4,2026-09-11T00:44:49Z,2026-09-10,0,cerrada,cerrado: bitácora duplicada de #25 y la captura de RegexOne se entrega en Canvas,,,2026-09-17
emilianomillan,regexone-practica,27,1,2026-09-11T00:44:49Z,2026-09-08,2,cerrada,cerrado: bitácora duplicada de #25 y la captura de RegexOne se entrega en Canvas,,,2026-09-17
camila7866,mirror-y-pull-request,28,2,2026-09-11T00:50:55Z,2026-09-10,0,bien,mergeado,,,2026-09-17
goldzweigarie-bit,datacamp-introduccion-git,29,1,2026-09-11T00:57:36Z,2026-09-10,0,cerrada,cerrado: contenido idéntico al que entró por #32,,,2026-09-17
FerArGo56,datacamp-introduccion-git,30,1,2026-09-11T01:03:08Z,2026-09-10,0,bien,aceptada; README.md en versión vieja del espejo,,,2026-09-17
loretmikel,datacamp-introduccion-git,31,1,2026-09-11T01:05:57Z,2026-09-10,0,bien,aceptada; falta github/README.md del espejo,,,2026-09-17
goldzweigarie-bit,datacamp-git-intermedio,32,1,2026-09-11T01:23:50Z,2026-09-17,0,bien,mergeado,,,2026-09-10
goldzweigarie-bit,datacamp-introduccion-git,32,2,2026-09-11T01:23:50Z,2026-09-10,0,bien,mergeado,,,2026-09-10
cristoredentor,desconocida,33,1,2026-09-11T01:29:02Z,,,cerrada,"cerrado: certificate.pdf suelto, sin certificaciones.md ni carpeta de entrega",,,2026-09-17
camila7866,datacamp-introduccion-git,34,1,2026-09-11T02:51:04Z,2026-09-10,0,mal,"certificaciones.md sin llenar: faltan nombre, usuario, correo y fecha",plantilla-sin-llenar,,2026-09-22
cristoredentor,datacamp-introduccion-git,35,1,2026-09-11T03:18:20Z,2026-09-10,0,cerrada,cerrado: reemplazado por #36; todo bajo una copia de codigo/,carpeta-codigo-anidada,,2026-09-17
cristoredentor,mirror-y-pull-request,35,2,2026-09-11T03:18:20Z,2026-09-10,0,cerrada,cerrado: reemplazado por #36; todo bajo una copia de codigo/,carpeta-codigo-anidada,,2026-09-17
cristoredentor,datacamp-introduccion-git,36,2,2026-09-11T04:55:48Z,2026-09-10,0,cerrada,cerrado: certificaciones cuentan por #57; la bitácora de la unidad 7 quedó fuera de su carpeta y va en un PR nuevo,carpeta-codigo-anidada,,2026-09-22
